Visibility,DATE,Date hour,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyWindSpeed,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageWindSpeed,DailyPrecipitation,HourlyPresentWeatherType,Weather Forecast,HourlyVisibility
Good,1/1/2015 12:51:00 AM,1/1/2015 12:00:00 AM,8,28,0.00,10,,,,,,Clear,10
Good,1/1/2015 1:51:00 AM,1/1/2015 1:00:00 AM,10,28,0.00,9,,,,,,Clear,10
Good,1/1/2015 2:51:00 AM,1/1/2015 2:00:00 AM,9,27,0.00,7,,,,,,Clear,10
Good,1/1/2015 3:51:00 AM,1/1/2015 3:00:00 AM,7,27,0.00,3,,,,,,Clear,10
Good,1/1/2015 4:51:00 AM,1/1/2015 4:00:00 AM,6,27,0.00,3,,,,,,Clear,10
Good,1/1/2015 5:51:00 AM,1/1/2015 5:00:00 AM,7,27,0.00,,,,,,,Clear,10
Good,1/1/2015 6:51:00 AM,1/1/2015 6:00:00 AM,7,27,0.00,3,,,,,,Clear,10
Good,1/1/2015 7:51:00 AM,1/1/2015 7:00:00 AM,7,27,0.00,7,,,,,,Clear,10
Good,1/1/2015 8:51:00 AM,1/1/2015 8:00:00 AM,6,28,0.00,0,,,,,,Clear,10
Good,1/1/2015 9:51:00 AM,1/1/2015 9:00:00 AM,6,30,0.00,6,,,,,,Clear,10
Good,1/1/2015 10:51:00 AM,1/1/2015 10:00:00 AM,6,31,0.00,3,,,,,,Clear,10
Good,1/1/2015 11:51:00 AM,1/1/2015 11:00:00 AM,7,33,0.00,11,,,,,,Clear,10
Good,1/1/2015 12:51:00 PM,1/1/2015 12:00:00 PM,7,35,0.00,10,,,,,,Clear,10
Good,1/1/2015 1:51:00 PM,1/1/2015 1:00:00 PM,7,37,0.00,7,,,,,,Clear,10
Good,1/1/2015 2:51:00 PM,1/1/2015 2:00:00 PM,8,38,0.00,9,,,,,,Clear,10
Good,1/1/2015 3:51:00 PM,1/1/2015 3:00:00 PM,10,39,0.00,8,,,,,,Clear,10
Good,1/1/2015 4:51:00 PM,1/1/2015 4:00:00 PM,11,39,0.00,11,,,,,,Clear,10
Good,1/1/2015 5:51:00 PM,1/1/2015 5:00:00 PM,13,39,0.00,7,,,,,,Clear,10
Good,1/1/2015 6:51:00 PM,1/1/2015 6:00:00 PM,13,39,0.00,0,,,,,,Clear,10
Good,1/1/2015 7:51:00 PM,1/1/2015 7:00:00 PM,15,38,0.00,7,,,,,,Clear,10
Good,1/1/2015 8:51:00 PM,1/1/2015 8:00:00 PM,16,38,0.00,9,,,,,,Clear,10
Good,1/1/2015 9:51:00 PM,1/1/2015 9:00:00 PM,16,38,0.00,8,,,,,,Clear,10
Good,1/1/2015 10:51:00 PM,1/1/2015 10:00:00 PM,17,38,0.00,10,,,,,,Clear,10
Good,1/1/2015 11:51:00 PM,1/1/2015 11:00:00 PM,17,37,0.00,10,,,,,,Clear,10
Good,1/1/2015 11:59:00 PM,1/1/2015 11:00:00 PM,,,,,10,33,7.1,0,,Clear,
Good,1/2/2015 12:51:00 AM,1/2/2015 12:00:00 AM,15,38,0.00,8,,,,,,Clear,10
Good,1/2/2015 1:51:00 AM,1/2/2015 1:00:00 AM,16,37,0.00,8,,,,,,Clear,10
Good,1/2/2015 2:51:00 AM,1/2/2015 2:00:00 AM,16,37,0.00,7,,,,,,Clear,10
Good,1/2/2015 3:51:00 AM,1/2/2015 3:00:00 AM,15,37,0.00,,,,,,,Clear,10
Good,1/2/2015 4:51:00 AM,1/2/2015 4:00:00 AM,16,36,0.00,3,,,,,,Clear,10
Good,1/2/2015 5:51:00 AM,1/2/2015 5:00:00 AM,16,36,0.00,8,,,,,,Clear,10
Good,1/2/2015 6:51:00 AM,1/2/2015 6:00:00 AM,16,36,0.00,5,,,,,,Clear,10
Good,1/2/2015 7:51:00 AM,1/2/2015 7:00:00 AM,16,36,0.00,7,,,,,,Clear,10
Good,1/2/2015 8:51:00 AM,1/2/2015 8:00:00 AM,16,38,0.00,6,,,,,,Clear,10
Good,1/2/2015 9:51:00 AM,1/2/2015 9:00:00 AM,17,39,0.00,8,,,,,,Clear,10
Good,1/2/2015 10:51:00 AM,1/2/2015 10:00:00 AM,17,41,0.00,,,,,,,Clear,10
Good,1/2/2015 11:51:00 AM,1/2/2015 11:00:00 AM,17,40,0.00,11,,,,,,Clear,10
Good,1/2/2015 12:51:00 PM,1/2/2015 12:00:00 PM,16,41,0.00,10,,,,,,Clear,10
Good,1/2/2015 1:51:00 PM,1/2/2015 1:00:00 PM,16,42,0.00,9,,,,,,Clear,10
Good,1/2/2015 2:51:00 PM,1/2/2015 2:00:00 PM,16,42,0.00,,,,,,,Clear,10
Good,1/2/2015 3:51:00 PM,1/2/2015 3:00:00 PM,15,42,0.00,8,,,,,,Clear,10
Good,1/2/2015 4:51:00 PM,1/2/2015 4:00:00 PM,17,41,0.00,9,,,,,,Clear,10
Good,1/2/2015 5:51:00 PM,1/2/2015 5:00:00 PM,16,40,0.00,7,,,,,,Clear,10
Good,1/2/2015 6:51:00 PM,1/2/2015 6:00:00 PM,17,40,0.00,10,,,,,,Clear,10
Good,1/2/2015 7:51:00 PM,1/2/2015 7:00:00 PM,18,38,0.00,6,,,,,,Clear,10
Good,1/2/2015 8:51:00 PM,1/2/2015 8:00:00 PM,18,38,0.00,5,,,,,,Clear,10
Good,1/2/2015 9:51:00 PM,1/2/2015 9:00:00 PM,18,37,0.00,5,,,,,,Clear,10
Good,1/2/2015 10:51:00 PM,1/2/2015 10:00:00 PM,19,36,0.00,3,,,,,,Clear,10
Good,1/2/2015 11:51:00 PM,1/2/2015 11:00:00 PM,20,35,0.00,5,,,,,,Clear,10
Good,1/2/2015 11:59:00 PM,1/2/2015 11:00:00 PM,,,,,17,39,7.1,0,,Clear,
Good,1/3/2015 12:51:00 AM,1/3/2015 12:00:00 AM,18,35,0.00,7,,,,,,Clear,10
Good,1/3/2015 1:51:00 AM,1/3/2015 1:00:00 AM,18,34,0.00,0,,,,,,Clear,10
Good,1/3/2015 2:51:00 AM,1/3/2015 2:00:00 AM,16,35,0.00,6,,,,,,Clear,10
Good,1/3/2015 3:51:00 AM,1/3/2015 3:00:00 AM,17,35,0.00,7,,,,,,Clear,10
Good,1/3/2015 4:51:00 AM,1/3/2015 4:00:00 AM,18,34,0.00,6,,,,,,Clear,10
Good,1/3/2015 5:51:00 AM,1/3/2015 5:00:00 AM,20,34,0.00,6,,,,,,Clear,10
Good,1/3/2015 6:51:00 AM,1/3/2015 6:00:00 AM,20,34,0.00,6,,,,,,Clear,10
Good,1/3/2015 7:51:00 AM,1/3/2015 7:00:00 AM,20,34,0.00,9,,,,,,Clear,10
Good,1/3/2015 8:51:00 AM,1/3/2015 8:00:00 AM,18,35,0.00,7,,,,,,Clear,10
Good,1/3/2015 9:51:00 AM,1/3/2015 9:00:00 AM,18,36,0.00,3,,,,,,Clear,10
Good,1/3/2015 10:15:00 AM,1/3/2015 10:00:00 AM,19,37,,8,,,,,,Clear,10
Good,1/3/2015 10:41:00 AM,1/3/2015 10:00:00 AM,19,37,,9,,,,,,Clear,10
Good,1/3/2015 10:49:00 AM,1/3/2015 10:00:00 AM,19,37,,10,,,,,,Clear,10
Good,1/3/2015 10:51:00 AM,1/3/2015 10:00:00 AM,19,37,0.00,8,,,,,,Clear,10
Good,1/3/2015 11:51:00 AM,1/3/2015 11:00:00 AM,22,38,0.00,5,,,,,,Clear,10
Poor,1/3/2015 12:20:00 PM,1/3/2015 12:00:00 PM,24,38,T,9,,,,,-SN:03 |SN |,Light Snow,1.75
Fog,1/3/2015 12:39:00 PM,1/3/2015 12:00:00 PM,28,36,0.01,7,,,,,SN:03 |SN s |,Moderate Snow,0.5
Poor,1/3/2015 12:49:00 PM,1/3/2015 12:00:00 PM,28,36,,8,,,,,-SN:03 |SN |,Light Snow,1.75
Poor,1/3/2015 12:51:00 PM,1/3/2015 12:00:00 PM,29,35,0.01,8,,,,,-SN:03 |SN |,Light Snow,2
Moderate,1/3/2015 1:02:00 PM,1/3/2015 1:00:00 PM,30,36,T,8,,,,,HZ:7 |FU |HZ,Fog,5
Poor,1/3/2015 1:22:00 PM,1/3/2015 1:00:00 PM,30,35,0.01,8,,,,,-SN:03 |SN |,Light Snow,1.75
Poor,1/3/2015 1:49:00 PM,1/3/2015 1:00:00 PM,30,34,,8,,,,,-SN:03 BR:1 |SN |,Light Snow,1.5
Poor,1/3/2015 1:51:00 PM,1/3/2015 1:00:00 PM,30,34,0.04,8,,,,,-SN:03 BR:1 |SN |,Light Snow,1.5
Poor,1/3/2015 2:11:00 PM,1/3/2015 2:00:00 PM,30,34,0.01,8,,,,,-SN:03 BR:1 |SN |,Light Snow,1
Fog,1/3/2015 2:20:00 PM,1/3/2015 2:00:00 PM,30,34,0.02,6,,,,,-SN:03 BR:1 |SN |,Light Snow,0.75
Poor,1/3/2015 2:42:00 PM,1/3/2015 2:00:00 PM,31,34,0.05,7,,,,,-SN:03 BR:1 |SN |,Light Snow,1
Poor,1/3/2015 2:51:00 PM,1/3/2015 2:00:00 PM,31,34,0.07,6,,,,,RA:02 BR:1 |RA |,Moderate Rain,1.75
Poor,1/3/2015 3:16:00 PM,1/3/2015 3:00:00 PM,31,34,0.04,5,,,,,-RA:02 BR:1 |RA |,Light Rain,1.75
Poor,1/3/2015 3:23:00 PM,1/3/2015 3:00:00 PM,31,35,0.05,5,,,,,-RA:02 BR:1 |RA |,Light Rain,2
Poor,1/3/2015 3:36:00 PM,1/3/2015 3:00:00 PM,32,35,0.06,7,,,,,-RA:02 BR:1 |RA |,Light Rain,1.75
Poor,1/3/2015 3:51:00 PM,1/3/2015 3:00:00 PM,32,35,0.06,7,,,,,-RA:02 BR:1 |RA |,Light Rain,1.5
Moderate,1/3/2015 4:31:00 PM,1/3/2015 4:00:00 PM,32,35,0.04,6,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 4:38:00 PM,1/3/2015 4:00:00 PM,32,36,0.05,6,,,,,UP:09 BR:1 ||,Fog,3
Moderate,1/3/2015 4:51:00 PM,1/3/2015 4:00:00 PM,32,36,0.05,8,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 5:04:00 PM,1/3/2015 5:00:00 PM,33,36,0.01,6,,,,,RA:02 BR:1 |RA |,Moderate Rain,2.5
Moderate,1/3/2015 5:31:00 PM,1/3/2015 5:00:00 PM,33,36,0.07,6,,,,,RA:02 BR:1 |RA |,Moderate Rain,3
Poor,1/3/2015 5:38:00 PM,1/3/2015 5:00:00 PM,33,36,0.10,3,,,,,RA:02 BR:1 |RA |,Moderate Rain,2
Moderate,1/3/2015 5:49:00 PM,1/3/2015 5:00:00 PM,34,36,,3,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 5:51:00 PM,1/3/2015 5:00:00 PM,34,37,0.12,5,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 6:14:00 PM,1/3/2015 6:00:00 PM,34,37,0.01,7,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 6:40:00 PM,1/3/2015 6:00:00 PM,35,37,0.05,5,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Moderate,1/3/2015 6:49:00 PM,1/3/2015 6:00:00 PM,36,37,,6,,,,,-RA:02 BR:1 |RA |,Light Rain,2.5
Moderate,1/3/2015 6:51:00 PM,1/3/2015 6:00:00 PM,35,37,0.07,6,,,,,RA:02 BR:1 |RA |,Moderate Rain,2.5
Moderate,1/3/2015 7:28:00 PM,1/3/2015 7:00:00 PM,35,38,0.07,6,,,,,-RA:02 BR:1 |RA |,Light Rain,3
Poor,1/3/2015 7:35:00 PM,1/3/2015 7:00:00 PM,35,38,0.08,6,,,,,RA:02 BR:1 |RA |,Moderate Rain,2
